13487,2015,10,	1166,125865
13495,2015,10,	420,43773
13502,2015,10,	1,47
13577,2015,10,	65,7086
13795,2015,10,	20,2288
13796,2015,10,	440,39767
13830,2015,10,	182,13483
13851,2015,10,	228,20199
13871,2015,10,	182,16715
13873,2015,10,	8,742
13891,2015,10,	222,25336
13930,2015,10,	3236,361590
13931,2015,10,	116,10750
13933,2015,10,	6,333
13964,2015,10,	14,1821
13970,2015,10,	7,764
14006,2015,10,	6,353
14025,2015,10,	4,407
14027,2015,10,	269,26445
14057,2015,10,	489,47652
14098,2015,10,	17,1356
14100,2015,10,	883,92198
14107,2015,10,	1585,154251
14108,2015,10,	54,5790
14109,2015,10,	10,1553
14113,2015,10,	2,35
14122,2015,10,	213,21591
14150,2015,10,	8,733
14193,2015,10,	46,4797
14222,2015,10,	2,258
14252,2015,10,	21,2102
14254,2015,10,	10,1107
14256,2015,10,	17,1617
14262,2015,10,	92,9380
14307,2015,10,	145,14746
14321,2015,10,	70,6149
14457,2015,10,	22,2406
14487,2015,10,	14,1250
14489,2015,10,	29,2348
14492,2015,10,	383,38379
14520,2015,10,	4,374
14524,2015,10,	233,25008
14543,2015,10,	6,402
14570,2015,10,	146,15054
14574,2015,10,	27,1193
14576,2015,10,	95,9454
14588,2015,10,	15,2454
14633,2015,10,	15,1283
14635,2015,10,	206,17342
14674,2015,10,	10,827
14679,2015,10,	661,67951
14683,2015,10,	355,33112
14685,2015,10,	77,6772
14689,2015,10,	75,7390
14696,2015,10,	55,6083
14698,2015,10,	44,5634
14709,2015,10,	6,949
14711,2015,10,	16,777
14730,2015,10,	82,5787
14747,2015,10,	1453,117692
14771,2015,10,	2096,252596
14783,2015,10,	50,5546
14794,2015,10,	22,2286
14814,2015,10,	86,8975
14828,2015,10,	19,1625
14831,2015,10,	353,34717
14842,2015,10,	16,1753
14843,2015,10,	264,27780
14869,2015,10,	652,71200
14893,2015,10,	432,41440
14905,2015,10,	9,1275
14908,2015,10,	329,29951
14952,2015,10,	22,2007
14960,2015,10,	10,770
14986,2015,10,	23,2294
15016,2015,10,	454,41592
15024,2015,10,	40,3259
15027,2015,10,	9,651
15041,2015,10,	3,420
15048,2015,10,	3,234
15070,2015,10,	19,1804
15096,2015,10,	72,6523
15249,2015,10,	27,2612
15295,2015,10,	2,290
15304,2015,10,	609,64097
15323,2015,10,	11,1238
15356,2015,10,	46,4641
15370,2015,10,	187,17948
15376,2015,10,	164,18265
15380,2015,10,	25,2016
15389,2015,10,	6,122
15401,2015,10,	15,1897
15411,2015,10,	25,2303
15412,2015,10,	84,8867
15497,2015,10,	2,148
15607,2015,10,	15,1568
15624,2015,10,	41,4721
15841,2015,10,	16,1621
15919,2015,10,	146,13281
15991,2015,10,	8,737
16218,2015,10,	19,1241
ABE,2015,1,	33,2187
ABE,2015,11,	39,4437
ABE,2015,12,	25,3467
ABE,2015,2,	48,5180
ABE,2015,3,	39,3407
ABE,2015,4,	31,3330
ABE,2015,5,	40,3592
ABE,2015,6,	47,6743
ABE,2015,7,	41,3842
ABE,2015,8,	47,5277
ABE,2015,9,	34,5529
ABI,2015,1,	65,6082
ABI,2015,11,	22,1937
ABI,2015,12,	23,3083
ABI,2015,2,	41,4195
ABI,2015,3,	64,5237
ABI,2015,4,	48,6400
ABI,2015,5,	51,5666
ABI,2015,6,	48,4476
ABI,2015,7,	29,2574
ABI,2015,8,	19,1572
ABI,2015,9,	12,958
ABQ,2015,1,	321,27851
ABQ,2015,11,	311,26404
ABQ,2015,12,	382,39066
ABQ,2015,2,	281,26038
ABQ,2015,3,	359,31188
ABQ,2015,4,	338,32295
ABQ,2015,5,	387,40441
ABQ,2015,6,	472,55130
ABQ,2015,7,	479,48276
ABQ,2015,8,	402,44446
ABQ,2015,9,	188,17375
ABR,2015,1,	10,1187
ABR,2015,11,	8,503
ABR,2015,12,	10,1551
ABR,2015,2,	7,615
ABR,2015,3,	3,168
ABR,2015,4,	3,317
ABR,2015,5,	3,210
ABR,2015,6,	10,681
ABR,2015,7,	9,637
ABR,2015,8,	5,666
ABR,2015,9,	6,593
ABY,2015,1,	16,2077
ABY,2015,11,	20,2815
ABY,2015,12,	25,2139
ABY,2015,2,	14,1441
ABY,2015,3,	21,2093
ABY,2015,4,	19,1820
ABY,2015,5,	18,1703
ABY,2015,6,	13,1397
ABY,2015,7,	21,2451
ABY,2015,8,	11,1380
ABY,2015,9,	14,1752
ACK,2015,5,	11,1970
ACK,2015,6,	24,3303
ACK,2015,7,	24,1654
ACK,2015,8,	21,2926
ACK,2015,9,	13,1392
ACT,2015,1,	42,4256
